userName,komentar
Lafita Anggraeni,"maxim luar biasa,selalu menemani perjalanan saya"
YT ALDYSAHA?,Sangat Bagus
agus permadi,Layanan OJOL kenapa ga bisa top up ya
Putri Ardiani,terbaik 👍👍👍👍
Sakaria 05,Pokoknya termurah
ARIL SAPUTRA,Aplikasi yang SANGAT-SANGAT bagus 👍👍
Maca Oliv,memuaskan
PAJAREWO BM,mantap sopan dantun ramah
Tomi Rons SH,Massage nya tidak bagus.hanya di elus2 saja.tolong benahin mana therapist mana bukan
Ririen Tambunan,Lebih murah dibanding yang lain
Ririn Huraera,sangat ramah
IscaRiot “The HELL snake” JudAs,"Yg bilang bagus cuma konsumen, tapi driver yg rugi untuk jangka panjang pendapatan tidak akan mampu membiayai kebutuhan service kendaraan, real asli driver pasti tau"
sum ardi,Tgl 11 08 23 jaringan Maxim lagi errooor saya kok dapet PTO ghoib padahal gak ada notif orderan masuk ...gak ada penolakan order... Apk Maxim anehhhh
Reza Saputra,baik bagus mantap sopan rama driver nya . Wawan
Coco Hawk,"Sebenernya aplikasinya gk ad masalah tpi supir""nya yg suka bermasalah jdi ywdahlah biar komplain lewat sini, saran mending supirnya d seleksi lgi cari yg ramah yg sabar gk urak""an kyk preman pasar"
Fitriyani Saputri,sangat baik
Gozali Algufron,fast respon dan sopan
muhamad imam firhadi,driver ramah..... mantab.... aman dan amanah.
Muhammad Hamdi,Ramah.. Ngobrolnya Enak
Hasnah Aja,Saya kurang suka dengan aplikasi maxim sejak kehilangan hp beberapa hari yang lagi tapi pihak maxim atau driver ngk ada tanggung jawabnya..paling tidk kasih ketemulah dengn driver.kan bisa saja drivernya tidak jujur.atau apalah.padahal nyata2 hp ketinggalan di mobil dan saya orderan terakhirnya pd saat itu.
Ronny Simanjuntak,"Maps belum akurat,, jadi cs susah buat titik penjemputan , harap di perbaiki"
Khrismon Putra,ramah drivernya nya
Buk Sum,"terimakasih banyak ya mas,ngapunten jika bapak kami kesulitan untuk naik dan turun dari motor🙏semoga rezeki smpyn dilancarkan"
Yani Yani,"terimakasih abg maxim, suda cepat antar pesanan saya."
Siti Kodariyah,"terimaksih, sangat nyaman diperjalanan"
Hezia Sasheena,baik buangeeet
